market_name,region,state,city,market_id
NEW YORK,,NEW YORK,NEW YORK CITY,1
PHILADELPHIA,,PENNSYLVANIA,PHILADELPHIA,2
MILWAUKEE,,WISCONSIN,MILWAUKEE,3
PEORIA/SPRINGFLD.,,ILLINOIS,PEORIA/SPRINGFLD.,4
LOS ANGELES,,CALIFORNIA,LOS ANGELES,5
"PORTLAND,OR",,OREGON,PORTLAND,6
SAN DIEGO,,CALIFORNIA,SAN DIEGO,7
SOUTH CAROLINA,,SOUTH CAROLINA,,8
HARTFORD,,CONNECTICUT,HARTFORD,9
SAN FRANCISCO,,CALIFORNIA,SAN FRANCISCO,10
WEST TEX/NEW MEX,NEW MEXICO/WEST TEXAS,,,11
OKLAHOMA CITY,,OKLAHOMA,OKLAHOMA CITY,12
BOSTON,,MASSACHUSETTS,BOSTON,13
HOUSTON,,TEXAS,HOUSTON,14
GREEN BAY,,WISCONSIN,GREEN BAY,15
CHARLOTTE,,NORTH CAROLINA,CHARLOTTE,16
"TULSA,OK",,OKLAHOMA,TULSA,17
SALT LAKE CITY,,UTAH,SALT LAKE CITY,18
OMAHA,,NEBRASKA,OMAHA,19
RICHMOND/NORFOLK,,VIRGINIA,RICHMOND,20
ROANOKE,,VIRGINIA,ROANOKE,21
RALEIGH/DURHAM,,NORTH CAROLINA,RALEIGH,22
SYRACUSE,,NEW YORK,SYRACUSE,23
"NEW ORLEANS, LA",,LOUISIANA,NEW ORLEANS,24
SPOKANE,,WASHINGTON,SPOKANE,25
ATLANTA,,GEORGIA,ATLANTA,26
MISSISSIPPI,,MISSISSIPPI,,27
NEW ENGLAND,NEW ENGLAND,,,28
KNOXVILLE,,TENNESSEE,KNOXVILLE,29
HARRISBURG/SCRANT,,PENNSYLVANIA,HARRISBURG,30
PITTSFIELD,,MASSACHUSETTS,PITTSFIELD,31
CHICAGO,,ILLINOIS,CHICAGO,32
"WASHINGTON, DC",,DISTRICT OF COLUMBIA,,33
BUFFALO/ROCHESTER,,NEW YORK,BUFFALO,34
SEATTLE/TACOMA,,WASHINGTON,SEATTLE,35
GRAND RAPIDS,,MICHIGAN,GRAND RAPIDS,36
MINNEAPOLIS/ST. PAUL,,MINNESOTA,MINNEAPOLIS,37
SACRAMENTO,,CALIFORNIA,SACRAMENTO,38
TOLEDO,,OHIO,TOLEDO,39
"DALLAS, TX",,TEXAS,DALLAS,40
EAU CLAIRE,,WISCONSIN,EAU CLAIRE,41
ST. LOUIS,,MISSOURI,ST. LOUIS,42
BIRMINGHAM/MONTG.,,ALABAMA,BIRMINGHAM,43
INDIANAPOLIS,,INDIANA,INDIANAPOLIS,44
"PHOENIX, AZ",,ARIZONA,PHOENIX,45
KANSAS CITY,,MISSOURI,KANSAS CITY,46
DETROIT,,MICHIGAN,DETROIT,47
CLEVELAND,,OHIO,CLEVELAND,48
"PROVIDENCE,RI",,RHODE ISLAND,PROVIDENCE,49
DES MOINES,,IOWA,DES MOINES,50